Interval,Power_Consumption,CPU_Utilization,Ram_Utilization,Inactivevmids,CPU_Imbalance,Ram_Imbalance
1,229.921875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0],0.0,0.0
2,249.84375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625]",[1],4.47213595499958,4.47213595499958
3,329.53125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625]",[2],3.265986323710904,3.265986323710904
4,488.90625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625]",[3],2.8284271247461903,2.8284271247461903
5,528.75,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.046875]",[4],2.622022120425379,2.553138954016902
6,548.671875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.046875]",[4],2.622022120425379,2.553138954016902
7,568.59375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.046875]",[4],2.622022120425379,2.553138954016902
8,608.4375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.078125]",[5],2.5612496949731396,2.609581835346786
9,767.8125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.078125]",[5],2.5612496949731396,2.609581835346786
10,648.28125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.078125]",[6],2.4729946379518983,2.4663414679817532
11,668.203125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.078125]",[7],2.454885950172714,2.461221885309059
12,708.046875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.078125]",[8],2.4540578640284747,2.473161527867739
13,787.734375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[9],2.4932727562103754,2.5193466291910944
14,947.109375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[10],2.525545164588901,2.4815799691662255
15,986.953125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[10],2.525545164588901,2.4815799691662255
16,967.03125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[10],2.525545164588901,2.4815799691662255
17,986.953125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[10],2.525545164588901,2.4815799691662255
18,1026.796875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[10],2.525545164588901,2.4815799691662255
19,1106.484375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[11],2.4789484030905493,2.472000641588036
20,1146.328125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[11],2.4789484030905493,2.472000641588036
21,1126.40625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[11],2.4789484030905493,2.472000641588036
22,1146.328125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[11],2.4789484030905493,2.472000641588036
23,1186.171875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[11],2.4789484030905493,2.472000641588036
24,1265.859375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]",[11],2.4789484030905493,2.472000641588036
25,1146.328125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.140625]",[12],2.458528821387964,2.4566008752844977
26,1166.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.140625]",[12],2.458528821387964,2.4566008752844977
27,1186.171875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625]",[13],2.4506796820045835,2.461740296874591
28,1265.859375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875]",[14],2.462679788529771,2.489391453252496
29,1425.234375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875]",[14],2.462679788529771,2.489391453252496
30,1305.703125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875]",[15],2.456093787748114,2.4645636680909817
31,1325.625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875]",[16],2.453132108724914,2.460627460628691
32,1365.46875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875]",[17],2.4528854129349984,2.4573496888137325
33,1445.15625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875]",[18],2.4524616527417047,2.451821480334278
34,1604.53125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875]",[18],2.4524616527417047,2.451821480334278
35,1485.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875]",[9],2.4964260167573276,2.5193466291910944
36,1345.546875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875]",[19],2.483556262341949,2.5067518537572555
37,1385.390625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875]",[20],2.465038503416657,2.4870173297521903
38,1465.078125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875]",[21],2.451648835086708,2.46605781987191
39,1624.453125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875]",[22],2.473746298602834,2.4664182576137867
40,1664.296875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875]",[23],2.46605781987191,2.4522569224779103
41,1684.21875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.171875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875]",[23],2.46605781987191,2.4522569224779103
42,1704.140625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375]",[24],2.4601354976233862,2.452885412934998
43,1783.828125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375]",[25],2.4554351942721495,2.4498348142426325
44,1943.203125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375]",[25],2.4554351942721495,2.4498348142426325
45,1823.671875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.203125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.265625]",[26],2.4507960876400112,2.4536026990909003
46,1843.59375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2734375]",[27],2.4499147115750115,2.45599288306515
47,1883.4375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2734375]",[27],2.4499147115750115,2.45599288306515
48,1923.28125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2734375]",[19],2.4526134020672723,2.4594953237652963
49,1963.125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2734375]",[19],2.4526134020672723,2.4594953237652963
50,1843.59375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2734375]",[19],2.4526134020672723,2.4594953237652963
51,1823.671875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2734375]",[27],2.4507960876400117,2.4573931641955267
52,1863.515625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2734375]",[27],2.4507960876400117,2.4573931641955267
53,1903.359375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2109375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2734375]",[1],2.461221885309059,2.4724969155147427
