Interval,Power_Consumption,CPU_Utilization,Ram_Utilization,Inactivevmids,CPU_Imbalance,Ram_Imbalance
1,229.6875,"[0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[1],4.47213595499958,4.47213595499958
2,269.375,"[0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[2],3.082207001484488,3.265986323710904
3,349.0625,"[0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[3],2.449489742783178,2.5612496949731396
4,506.5625,"[0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[4],3.2600765594620196,2.840951586556829
5,545.9375,"[0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[4],3.2600765594620196,2.840951586556829
6,526.40625,"[0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[5],3.111051099130142,2.7276966873365875
7,566.09375,"[0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[6],2.858810941632902,2.3984039090891747
8,645.46875,"[0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0625, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.03125, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[7],2.4932727562103754,2.1380899352993947
9,804.21875,"[0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0625, 0.125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.03125, 0.0625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[8],2.1011666730353307,1.8488006431955157
10,843.90625,"[0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0625, 0.125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.03125, 0.0625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[8],2.1011666730353307,1.8488006431955157
11,824.0625,"[0.03125, 0.0, 0.0, 0.046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0625, 0.125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.0, 0.046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.03125, 0.0625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[9],2.050943975620917,1.800411475602586
12,863.75,"[0.03125, 0.0, 0.0, 0.046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0625, 0.15625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.0, 0.046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.03125, 0.078125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[10],2.04236382655001,1.7973371984632232
13,942.5,"[0.03125, 0.0, 0.125, 0.046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0625, 0.15625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.0625, 0.046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.03125, 0.078125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[11],1.781706812768775,1.5917140820537665
14,1101.25,"[0.03125, 0.0, 0.125, 0.046875, 0.125, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0625, 0.15625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.0625, 0.046875, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.03125, 0.078125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[12],1.5797264681854624,1.4253932901995967
15,1140.625,"[0.03125, 0.0, 0.1875, 0.046875, 0.125, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.0625, 0.15625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.125, 0.046875, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.03125, 0.078125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[13],1.5848238598237556,1.4788061688345562
16,1160.46875,"[0.03125, 0.0, 0.1875, 0.046875, 0.125, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.078125, 0.15625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.125, 0.046875, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.0390625, 0.078125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[14],1.5646937703593453,1.4613064930625155
17,1199.84375,"[0.03125, 0.0, 0.1875, 0.046875, 0.125, 0.0, 0.0, 0.0, 0.0, 0.25, 0.03125, 0.078125, 0.15625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.125, 0.046875, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.125, 0.03125, 0.0390625, 0.078125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[14],1.5646937703593453,1.4613064930625155
18,1239.21875,"[0.03125, 0.0, 0.1875, 0.046875, 0.125, 0.0, 0.0, 0.0, 0.125, 0.25, 0.03125, 0.078125, 0.15625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.125, 0.046875, 0.0625, 0.0, 0.0, 0.0, 0.0625, 0.125, 0.03125, 0.0390625, 0.078125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[15],1.4061705764170633,1.3227575363610673
19,1397.96875,"[0.03125, 0.0, 0.1875, 0.046875, 0.125, 0.0, 0.0, 0.0, 0.125, 0.25, 0.03125, 0.078125, 0.15625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.125, 0.046875, 0.0625, 0.0, 0.0, 0.0, 0.0625, 0.125, 0.03125, 0.0390625, 0.078125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[15],1.4061705764170633,1.3227575363610673
20,1278.59375,"[0.03125, 0.0, 0.1875, 0.046875, 0.125, 0.0, 0.0, 0.0, 0.1875, 0.25, 0.03125, 0.078125, 0.15625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.125, 0.046875, 0.0625, 0.0, 0.0, 0.0, 0.125, 0.125, 0.03125, 0.0390625, 0.078125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[16],1.4054287154718472,1.339078102759229
21,1298.28125,"[0.03125, 0.0, 0.1875, 0.046875, 0.125, 0.0, 0.0, 0.0, 0.1875, 0.25, 0.03125, 0.078125, 0.15625, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.0]","[0.015625, 0.0, 0.125, 0.046875, 0.0625, 0.0, 0.0, 0.0, 0.125, 0.125, 0.03125, 0.0390625, 0.078125, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0]",[16],1.4054287154718472,1.339078102759229
