Interval,Power_Consumption,CPU_Utilization,Ram_Utilization,Inactivevmids,CPU_Imbalance,Ram_Imbalance
1,229.6875,"[0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[1],4.47213595499958,4.47213595499958
2,269.53125,"[0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[1],4.47213595499958,4.47213595499958
3,308.4375,"[0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0]",[2],3.6441734316577197,3.6441734316577197
4,465.9375,"[0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0]",[3],3.0108285831970654,3.0108285831970654
5,505.625,"[0.0, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.015625, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0]",[4],2.7902892835178013,2.6331223544175333
6,525.3125,"[0.0, 0.03125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.015625, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0]",[4],2.7902892835178013,2.6331223544175333
7,545.0,"[0.0, 0.09375, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0]",[5],2.526422866425967,2.399538594631899
8,624.375,"[0.0, 0.09375, 0.0, 0.0, 0.03125, 0.0625, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.03125, 0.03125, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0]",[6],2.2566773346211004,2.1546831042588126
9,783.75,"[0.0, 0.09375, 0.0, 0.0, 0.03125, 0.0625, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.03125, 0.03125, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0]",[6],2.2566773346211004,2.1546831042588126
10,663.75,"[0.0, 0.09375, 0.0, 0.0, 0.03125, 0.0625, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.03125, 0.03125, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0]",[6],2.2566773346211004,2.1546831042588126
11,644.21875,"[0.0, 0.09375, 0.0, 0.0, 0.03125, 0.0625, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.03125, 0.03125, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0]",[6],2.2566773346211004,2.1546831042588126
12,664.0625,"[0.0, 0.09375, 0.0, 0.0, 0.03125, 0.0625, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.03125, 0.03125, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0]",[7],2.1275139927797615,2.0359273071502333
13,743.4375,"[0.0, 0.09375, 0.0, 0.0, 0.03125, 0.0625, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.03125, 0.03125, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0]",[7],2.1275139927797615,2.0359273071502333
14,821.5625,"[0.0, 0.09375, 0.0, 0.0, 0.03125, 0.0625, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.03125, 0.03125, 0.0, 0.125, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0]",[8],1.8921540406584887,1.827371257923719
15,861.25,"[0.0, 0.09375, 0.0, 0.0, 0.0625, 0.0625, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.0625, 0.03125, 0.0, 0.125, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0]",[9],1.827371257923719,1.74928556845359
16,881.09375,"[0.0, 0.09375, 0.0, 0.0, 0.0625, 0.0625, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.0625, 0.03125, 0.0, 0.125, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0]",[9],1.827371257923719,1.74928556845359
17,900.9375,"[0.0, 0.09375, 0.0, 0.0, 0.0625, 0.0625, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.0625, 0.03125, 0.0, 0.125, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0]",[9],1.827371257923719,1.74928556845359
18,940.625,"[0.0, 0.09375, 0.0, 0.0, 0.0625, 0.0625, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.0]","[0.0, 0.046875, 0.0, 0.0, 0.0625, 0.03125, 0.0, 0.125, 0.125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0]",[10],1.6950909513454826,1.6280020347038882
19,1100.0,"[0.0, 0.09375, 0.0, 0.0, 0.0625, 0.0625, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.0625]","[0.0, 0.046875, 0.0, 0.0, 0.0625, 0.03125, 0.0, 0.125, 0.125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0625]",[11],1.576809476442858,1.4640759947893822
20,1139.6875,"[0.0, 0.09375, 0.0, 0.03125, 0.0625, 0.0625, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.0625]","[0.0, 0.046875, 0.0, 0.0625, 0.0625, 0.03125, 0.0, 0.125, 0.125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0625]",[12],1.5157574545939152,1.3252358280698573
21,1159.53125,"[0.0, 0.09375, 0.0, 0.03125, 0.0625, 0.0625, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.0625]","[0.0, 0.046875, 0.0, 0.0625, 0.0625, 0.03125, 0.0, 0.125, 0.125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0625]",[12],1.5157574545939152,1.3252358280698573
22,1179.53125,"[0.0, 0.09375, 0.0, 0.03125, 0.0625, 0.0625, 0.015625, 0.25, 0.25, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.0625]","[0.0, 0.046875, 0.0, 0.0625, 0.0625, 0.03125, 0.015625, 0.125, 0.125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.0625]",[13],1.484755834680106,1.2790351806953069
23,1259.21875,"[0.0, 0.09375, 0.0, 0.03125, 0.0625, 0.0625, 0.015625, 0.25, 0.25, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.03125, 0.09375]","[0.0, 0.046875, 0.0, 0.0625, 0.0625, 0.03125, 0.015625, 0.125, 0.125, 0.0, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0, 0.015625, 0.09375]",[14],1.4524602685643535,1.2741979099351373
